iter	Passed	Remaining
0	1	192
1	3	185
2	5	169
3	6	153
4	7	148
5	9	144
6	10	141
7	12	138
8	13	137
9	15	135
10	16	133
11	18	133
12	19	131
13	21	131
14	22	129
15	24	127
16	25	126
17	27	124
18	28	122
19	30	120
20	31	119
21	34	121
22	36	120
23	37	119
24	39	117
25	40	115
26	41	113
27	43	111
28	44	109
29	46	107
30	49	109
31	51	108
32	52	106
33	54	105
34	56	104
35	57	102
36	59	100
37	60	98
38	63	99
39	65	97
40	66	95
41	67	92
42	68	91
43	70	89
44	71	87
45	73	85
46	75	85
47	77	83
48	79	82
49	80	80
50	82	78
51	83	77
52	85	75
53	86	74
54	88	72
55	90	71
56	92	69
57	93	67
58	95	66
59	97	64
60	98	63
61	99	61
62	101	59
63	103	58
64	104	56
65	106	54
66	108	53
67	109	51
68	111	50
69	112	48
70	114	46
71	115	45
72	118	43
73	120	42
74	121	40
75	123	39
76	125	37
77	126	35
78	128	34
79	129	32
80	131	30
81	133	29
82	134	27
83	136	25
84	137	24
85	139	22
86	141	21
87	142	19
88	144	17
89	145	16
90	147	14
91	148	12
92	150	11
93	151	9
94	153	8
95	154	6
96	156	4
97	157	3
98	159	1
99	160	0
